Date,Revenue,Expenses,Profit,Cash_Flow,Investments,Debt,Assets,Liabilities,Profit_Margin,ROI,Month
01-01-2023,125000,87500,37500,32000,15000,45000,500000,180000,0.30,0.08,January
02-01-2023,128000,89600,38400,32800,16000,46000,510000,185000,0.30,0.08,January
03-01-2023,132000,92400,39600,34000,17000,47000,520000,190000,0.30,0.08,January
04-01-2023,135000,94500,40500,35000,18000,48000,530000,195000,0.30,0.08,January
05-01-2023,138000,96600,41400,36000,19000,49000,540000,200000,0.30,0.08,January
06-01-2023,142000,99400,42600,37200,20000,50000,550000,205000,0.30,0.08,January
07-01-2023,145000,101500,43500,38000,21000,51000,560000,210000,0.30,0.08,January
08-01-2023,148000,103600,44400,38800,22000,52000,570000,215000,0.30,0.08,January
09-01-2023,152000,106400,45600,40000,23000,53000,580000,220000,0.30,0.08,January
10-01-2023,155000,108500,46500,40800,24000,54000,590000,225000,0.30,0.08,January
11-01-2023,158000,110600,47400,41600,25000,55000,600000,230000,0.30,0.08,January
12-01-2023,162000,113400,48600,42800,26000,56000,610000,235000,0.30,0.08,January
13-01-2023,165000,115500,49500,43600,27000,57000,620000,240000,0.30,0.08,January
14-01-2023,168000,117600,50400,44400,28000,58000,630000,245000,0.30,0.08,January
15-01-2023,172000,120400,51600,45600,29000,59000,640000,250000,0.30,0.08,January
16-01-2023,175000,122500,52500,46400,30000,60000,650000,255000,0.30,0.08,January
17-01-2023,178000,124600,53400,47200,31000,61000,660000,260000,0.30,0.08,January
18-01-2023,182000,127400,54600,48400,32000,62000,670000,265000,0.30,0.08,January
19-01-2023,185000,129500,55500,49200,33000,63000,680000,270000,0.30,0.08,January
20-01-2023,188000,131600,56400,50000,34000,64000,690000,275000,0.30,0.08,January
21-01-2023,192000,134400,57600,51200,35000,65000,700000,280000,0.30,0.08,January
22-01-2023,195000,136500,58500,52000,36000,66000,710000,285000,0.30,0.08,January
23-01-2023,198000,138600,59400,52800,37000,67000,720000,290000,0.30,0.08,January
24-01-2023,202000,141400,60600,54000,38000,68000,730000,295000,0.30,0.08,January
25-01-2023,205000,143500,61500,54800,39000,69000,740000,300000,0.30,0.08,January
26-01-2023,208000,145600,62400,55600,40000,70000,750000,305000,0.30,0.08,January
27-01-2023,212000,148400,63600,56800,41000,71000,760000,310000,0.30,0.08,January
28-01-2023,215000,150500,64500,57600,42000,72000,770000,315000,0.30,0.08,January
29-01-2023,218000,152600,65400,58400,43000,73000,780000,320000,0.30,0.08,January
30-01-2023,222000,155400,66600,59600,44000,74000,790000,325000,0.30,0.08,January
31-01-2023,225000,157500,67500,60400,45000,75000,800000,330000,0.30,0.08,January
01-02-2023,230000,161000,69000,62000,46000,76000,810000,335000,0.30,0.08,February
02-02-2023,235000,164500,70500,63600,47000,77000,820000,340000,0.30,0.08,February
03-02-2023,240000,168000,72000,65200,48000,78000,830000,345000,0.30,0.08,February
04-02-2023,245000,171500,73500,66800,49000,79000,840000,350000,0.30,0.08,February
05-02-2023,250000,175000,75000,68400,50000,80000,850000,355000,0.30,0.08,February
06-02-2023,255000,178500,76500,70000,51000,81000,860000,360000,0.30,0.08,February
07-02-2023,260000,182000,78000,71600,52000,82000,870000,365000,0.30,0.08,February
08-02-2023,265000,185500,79500,73200,53000,83000,880000,370000,0.30,0.08,February
09-02-2023,270000,189000,81000,74800,54000,84000,890000,375000,0.30,0.08,February
10-02-2023,275000,192500,82500,76400,55000,85000,900000,380000,0.30,0.08,February
11-02-2023,280000,196000,84000,78000,56000,86000,910000,385000,0.30,0.08,February
12-02-2023,285000,199500,85500,79600,57000,87000,920000,390000,0.30,0.08,February
13-02-2023,290000,203000,87000,81200,58000,88000,930000,395000,0.30,0.08,February
14-02-2023,295000,206500,88500,82800,59000,89000,940000,400000,0.30,0.08,February
15-02-2023,300000,210000,90000,84400,60000,90000,950000,405000,0.30,0.08,February
16-02-2023,305000,213500,91500,86000,61000,91000,960000,410000,0.30,0.08,February
17-02-2023,310000,217000,93000,87600,62000,92000,970000,415000,0.30,0.08,February
18-02-2023,315000,220500,94500,89200,63000,93000,980000,420000,0.30,0.08,February
19-02-2023,320000,224000,96000,90800,64000,94000,990000,425000,0.30,0.08,February
20-02-2023,325000,227500,97500,92400,65000,95000,1000000,430000,0.30,0.08,February
21-02-2023,330000,231000,99000,94000,66000,96000,1010000,435000,0.30,0.08,February
22-02-2023,335000,234500,100500,95600,67000,97000,1020000,440000,0.30,0.08,February
23-02-2023,340000,238000,102000,97200,68000,98000,1030000,445000,0.30,0.08,February
24-02-2023,345000,241500,103500,98800,69000,99000,1040000,450000,0.30,0.08,February
25-02-2023,350000,245000,105000,100400,70000,100000,1050000,455000,0.30,0.08,February
26-02-2023,355000,248500,106500,102000,71000,101000,1060000,460000,0.30,0.08,February
27-02-2023,360000,252000,108000,103600,72000,102000,1070000,465000,0.30,0.08,February
28-02-2023,365000,255500,109500,105200,73000,103000,1080000,470000,0.30,0.08,February
